id;nombre_empleado;apellido_empleado;telefono;correo
1;terrible;shyly;9003;but
2;retrospectivity along adventurously;meanwhile;25605;to
3;wetly finally oh;middle;9648;ugh below noted
4;taut;foretell;5319;gleefully
5;abaft frankly dispense;thoroughly boo;11063;shocked
6;since bend forgather;outside however;19270;settle squirm minus
7;nectarine;fishery;7036;ha when
8;though fluctuate;while duh waterlogged;17514;plump quirkily
9;among whether failing;boohoo attend;2286;tusk obvious
10;um;rebel monstrous underneath;29834;inferior but like
