id;nombre_jefe;apellido_jefe;telefono_jefe;correo_jefe
1;witty yuck luck;neatly artistic;32453;hydrolyse
2;lotion across;along;25503;sandy
3;mmm;depute tinted co-producer;21697;snappy versus amongst
4;before nervous;a;29746;upon
5;for efface seldom;mysterious;28150;victoriously worthy oh
6;newsletter unlike;rudely till;4989;consequently elderly
7;bah;since abnegate;18115;rigidly hmph
8;under frantically;enraged;20189;technologist
9;from when;singing;31603;naturally consequently bah
10;reproachfully;phooey;30923;clean beneath fen
